company,total_links,active_months,max_monthly_count,avg_monthly_count,partner_count,hscode_count,fish_hscode_ratio,total_weightkg,total_value_omu,isolation_label,anomaly_score,dbscan_cluster,hierarchical_cluster,hierarchical_subcluster,hierarchical_microcluster,cluster_path,cluster_path_3,business_mode,nearest_company,nearest_similarity
Danish Plaice BV Investment,1595,84,60,18.9881,12,11,0.9975,31505705.0,0.0,normal,0.198,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Estrella del Mar ОАО Shipping,0.9998
Tristen Jetty Company Solutions,2332,81,141,28.7901,33,23,0.9824,38488815.0,0.0,normal,0.198,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Ocean Quest Inc Marine ecology,0.9995
Balkan Trout AB Cargo,138,52,12,2.6538,27,20,0.7609,2564470.0,0.0,normal,0.1979,0,5,3,0,C5-S3,C5-S3-T0,niche_or_shell,Seashore Sanctuary N.V. Consultants,0.9951
-5,1,1,1,1.0,1,1,0.0,735.0,0.0,normal,0.1976,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-58,1.0
Playa de Arena SRL,2189,82,66,26.6951,114,109,0.8301,54259835.0,0.0,normal,0.1975,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Arena del Sol SRL,0.9983
-29,8,5,2,1.6,5,5,0.0,85075.0,0.0,normal,0.1974,0,2,2,0,C2-S2,C2-S2-T0,niche_or_shell,0,1.0
-21,1,1,1,1.0,1,1,0.0,9265.0,0.0,normal,0.1973,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-19,1.0
-16,1,1,1,1.0,1,1,0.0,10880.0,0.0,normal,0.1971,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-33,1.0
-19,1,1,1,1.0,1,1,0.0,10610.0,0.0,normal,0.1971,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-44,1.0
-33,1,1,1,1.0,1,1,0.0,10835.0,0.0,normal,0.1971,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-16,1.0
-44,1,1,1,1.0,1,1,0.0,10695.0,0.0,normal,0.1971,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-19,1.0
-23,1,1,1,1.0,1,1,0.0,300.0,0.0,normal,0.197,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-58,1.0
-58,1,1,1,1.0,1,1,0.0,355.0,0.0,normal,0.197,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-23,1.0
-45,1,1,1,1.0,1,1,0.0,1725.0,0.0,normal,0.1969,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-53,1.0
Dnipro  Investment Coral Reef,863,29,57,29.7586,55,227,0.0058,12390090.0,0.0,normal,0.1967,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,Baltic Sprat Seafaring Co Holdings,0.9868
-53,1,1,1,1.0,1,1,0.0,1595.0,0.0,normal,0.1963,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-11,1.0
Perla del Mar Deep-sea,3179,84,63,37.8452,80,17,0.9726,56936100.0,0.0,normal,0.1963,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Kerala  Market - Ges.m.b.H. Cargo,0.9996
Danish Plaice Ltd. Liability Co Logistics,1840,84,51,21.9048,101,11,0.9967,39050975.0,0.0,normal,0.1959,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Mar del Oeste Cruise ship,0.9999
-11,1,1,1,1.0,1,1,0.0,1515.0,0.0,normal,0.1958,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-17,1.0
-12,1,1,1,1.0,1,1,0.0,5225.0,0.0,normal,0.1958,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-56,1.0
-17,1,1,1,1.0,1,1,0.0,1540.0,0.0,normal,0.1958,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-11,1.0
-52,1,1,1,1.0,1,1,0.0,1550.0,0.0,normal,0.1958,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-11,1.0
-1,1,1,1,1.0,1,1,0.0,7485.0,0.0,normal,0.1957,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-55,1.0
-55,1,1,1,1.0,1,1,0.0,6710.0,0.0,normal,0.1957,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-1,1.0
Oceanic Blue Plc Holdings,115,64,6,1.7969,9,22,0.7478,2299520.0,0.0,normal,0.1954,0,5,3,1,C5-S3,C5-S3-T1,niche_or_shell,The Sea Lion Incorporated,0.997
-26,1,1,1,1.0,1,1,0.0,4905.0,0.0,normal,0.1952,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-56,1.0
-31,1,1,1,1.0,1,1,0.0,3790.0,0.0,normal,0.1952,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-26,1.0
-56,1,1,1,1.0,1,1,0.0,5085.0,0.0,normal,0.1952,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-12,1.0
-1992,4029,49,306,82.2245,1,74,0.0,19809115.0,0.0,normal,0.1948,0,2,0,1,C2-S0,C2-S0-T1,niche_or_shell,Beachcombers NV and Son's,0.9793
-64,107,12,14,8.9167,5,7,0.0,670600.0,0.0,normal,0.1945,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,-13,0.9999
The Salty Pearl Express,863,84,21,10.2738,41,40,0.9664,16444415.0,0.0,normal,0.1942,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Surf's Up s Sp,0.9996
-10,1,1,1,1.0,1,1,0.0,2160.0,0.0,normal,0.1939,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-8,1.0
-8,1,1,1,1.0,1,1,0.0,2270.0,0.0,normal,0.1939,0,2,2,1,C2-S2,C2-S2-T1,niche_or_shell,-10,1.0
Estrella del Mar ОАО Shipping,2100,84,56,25.0,28,10,1.0,44402800.0,0.0,normal,0.1938,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Costa de Coral SRL United,0.9999
French  Seabed S.p.A. Forwading,1994,84,95,23.7381,82,19,0.9885,68649190.0,0.0,normal,0.1935,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Oceanfront Oases Co Shipping,0.9994
Marine Masterminds Kga Line,1054,79,40,13.3418,38,8,1.0,21911675.0,0.0,normal,0.1935,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,Cape of Good Hope   Corporation,0.9995
Beachcomber's Bounty Sea spray,2161,80,74,27.0125,23,10,0.9718,58635065.0,0.0,normal,0.1933,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,Mizoram  S.A. de C.V.,0.9996
Estrella de la Costa AB Express,1905,84,36,22.6786,30,12,0.9963,40388345.0,0.0,normal,0.1928,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Estrella del Mar ОАО Shipping,0.9999
Sea Spray AS Cargo,591,76,40,7.7763,54,9,0.9983,11565610.0,0.0,normal,0.1922,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,Blue Nile  OJSC Logistics,0.9998
Coastal Cruisers GmbH Logistics,11713,84,226,139.4405,763,568,0.0,98859025.0,0.0,normal,0.1919,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Ola de la Costa N.V.,0.9963
Dutch Eel AB Holdings,2923,84,92,34.7976,39,6,0.9986,55712635.0,0.0,normal,0.1917,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Neptune's Realm NV Navigation,0.9999
jīng GmbH & Co. KG,815,81,29,10.0617,71,12,0.9951,19141940.0,0.0,normal,0.1917,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,Norwegian Haddock Ltd. Corporation Logistics,0.9997
Dutch Mussels Tidepool ОАО Express,1696,84,47,20.1905,79,13,0.9894,35750255.0,0.0,normal,0.1915,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,hǎi dǎn AG Express,0.9997
Marine Mates NV Worldwide,8170,84,228,97.2619,517,702,0.1616,126219835.0,0.0,normal,0.1915,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Punjab s A/S Marine,0.9891
Yu er he  Bonito,1794,84,51,21.3571,114,45,0.927,37571260.0,0.0,normal,0.1914,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Italian Sardines Ltd. Liability Co,0.9998
Casablanca Coast  Flounder Oyj Line,1534,81,57,18.9383,64,18,0.9961,37084730.0,0.0,normal,0.191,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,Viento Azul N.V. Distribution,0.9996
Playa del Mar Corporation,3156,83,85,38.0241,32,11,0.9718,57461705.0,0.0,normal,0.1909,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Dutch Eel AB Holdings,0.9998
Saltwater Solitude N.V. International,128,49,8,2.6122,18,13,0.6094,2877085.0,0.0,normal,0.1908,0,5,1,1,C5-S1,C5-S1-T1,niche_or_shell,Neptune's Kingdom Sailboat LLC Cargo,0.9912
Saltwater Sirens S.p.A. International,3248,84,91,38.6667,69,27,0.9969,69688625.0,0.0,normal,0.1907,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Kerala  Market - Ges.m.b.H. Cargo,0.9998
Arena del Sol Pic,2225,83,174,26.8072,67,32,0.9892,42841375.0,0.0,normal,0.1901,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Brisa Marina CJSC Bonito,0.9988
Faroe Islands Halibut Sea S.p.A. Distribution,2723,84,65,32.4167,141,171,0.6148,49078310.0,344155.0,normal,0.1898,0,1,2,0,C1-S2,C1-S2-T0,niche_or_shell,Océano del Este SRL,0.9942
Mar de la Vida S.p.A.,3667,84,134,43.6548,48,15,0.9836,61887920.0,0.0,normal,0.1898,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Chuan gou  N.V. Delivery,0.9994
Wave Watchers Underwater Ltd. Corporation Solutions,2136,84,72,25.4286,46,12,0.9991,48842545.0,0.0,normal,0.1891,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Oceanfront Oases Co Shipping,0.9999
Nagaland Sea Catch Ltd. Liability Co Logistics,2667,84,110,31.75,33,14,0.9981,50060035.0,0.0,normal,0.1888,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Dutch Eel AB Holdings,0.9998
Ancla del Mar Marine ecology,2616,84,78,31.1429,50,19,0.9927,40764030.0,0.0,normal,0.1885,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Wave Watchers Underwater Ltd. Corporation Solutions,0.9999
Neptune's Realm NV Navigation,2868,84,72,34.1429,37,11,0.9937,51322035.0,0.0,normal,0.1883,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Dutch Eel AB Holdings,0.9999
Isla del Tesoro SE Transport,717,84,17,8.5357,69,21,0.9805,13545910.0,0.0,normal,0.1882,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Surf's Up s Sp,0.9999
The Sea Lion Incorporated,193,67,7,2.8806,18,27,0.772,3329615.0,0.0,normal,0.1881,0,5,3,1,C5-S3,C5-S3-T1,niche_or_shell,Caracola del Este N.V.,0.9975
Brisa Marina CJSC Bonito,2113,84,133,25.1548,95,30,0.9759,43123550.0,0.0,normal,0.1876,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,French  Seabed S.p.A. Forwading,0.9994
Belgian Scallop S.A. de C.V.,9374,84,269,111.5952,560,843,0.0547,208472205.0,0.0,normal,0.1873,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Angrapa Ltd. Liability Co Export,0.9936
Cape Verde Islands  Catchers GmbH & Co. KG Shipping,5387,84,400,64.131,291,497,0.0793,209192600.0,1040235.0,normal,0.1873,0,1,3,1,C1-S3,C1-S3-T1,general_trader,Scottish Oysters Tsunami Sp Line,0.9439
Norwegian Haddock Ltd. Corporation Logistics,796,81,32,9.8272,50,9,0.9937,15683590.0,0.0,normal,0.1873,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,1 Ltd. Liability Co Cargo,0.9999
Lake Tanganyika  Inc Import,13,8,2,1.625,3,6,0.0,134940.0,0.0,normal,0.1871,0,2,2,0,C2-S2,C2-S2-T0,niche_or_shell,-39,0.9999
Isla del Mar Kga International,2998,75,463,39.9733,355,185,0.002,14565425.0,0.0,normal,0.1868,0,1,1,0,C1-S1,C1-S1-T0,niche_or_shell,Norwegian King Crab Company,0.8204
Mar del Placer Sagl Solutions,2967,82,106,36.1829,51,15,0.9926,52618380.0,0.0,normal,0.1864,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Ocean Quest Inc Marine ecology,0.9997
3 Trawler Corp Distribution,4570,84,130,54.4048,395,524,0.1514,507656785.0,0.0,normal,0.1859,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Agua Oceanfront Limited Liability Company Transportation,0.9875
Lake Nakuru  Kga Logistics,11478,84,179,136.6429,729,694,0.0,115867505.0,0.0,normal,0.1857,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Ola de la Costa N.V.,0.9939
Oceanfront Oases Co Shipping,2193,84,73,26.1071,57,7,0.9945,44886870.0,0.0,normal,0.1854,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Wave Watchers Underwater Ltd. Corporation Solutions,0.9999
SeaSiren Limited Liability Company,1257,84,29,14.9643,48,11,0.9936,24358260.0,0.0,normal,0.185,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Surf's Up s Sp,0.9997
Surf's Up s Sp,896,84,28,10.6667,65,29,0.9621,18891995.0,0.0,normal,0.1849,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Isla del Tesoro SE Transport,0.9999
Viento Azul N.V. Distribution,1943,82,65,23.6951,72,37,0.9784,35700860.0,0.0,normal,0.1849,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Casablanca Coast  Flounder Oyj Line,0.9996
Agua Oceanfront Limited Liability Company Transportation,6588,84,133,78.4286,400,609,0.155,511017595.0,0.0,normal,0.1845,0,1,3,0,C1-S3,C1-S3-T0,general_trader,3 Trawler Corp Distribution,0.9875
1 Ltd. Liability Co Cargo,880,81,34,10.8642,40,9,0.9886,12693930.0,0.0,normal,0.1843,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,Norwegian Haddock Ltd. Corporation Logistics,0.9999
Kalahari  N.V. Charter Boat ,2464,72,81,34.2222,345,599,0.0024,5254765.0,0.0,normal,0.1842,0,1,3,2,C1-S3,C1-S3-T2,general_trader,Seashell Sanctum SRL Transport,0.9982
Oceanfront Oasis Company Green ,3770,84,125,44.881,101,83,0.7944,65313700.0,0.0,normal,0.1834,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Saltwater Sirens S.p.A. International,0.9976
Uttarakhand   Tidepool Oyj International,2148,82,80,26.1951,83,12,0.9316,44234850.0,0.0,normal,0.1833,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Oceanfront Oases Co Shipping,0.9994
Ocean Quest Inc Marine ecology,2257,82,122,27.5244,52,20,0.9858,55438765.0,0.0,normal,0.1826,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Mar del Placer Sagl Solutions,0.9997
Fan er  Ltd. Corporation,233,76,7,3.0658,28,21,0.9313,4546855.0,0.0,normal,0.1825,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,AquaBite Limited Liability Company Marine,0.9995
Kariba Dam   Ges.m.b.H. Delivery,89,42,6,2.119,20,16,0.382,1275985.0,0.0,normal,0.1822,0,2,0,1,C2-S0,C2-S0-T1,niche_or_shell,Isla Azul Seafoam GmbH & Co. KG Forwading,0.9832
Mar y Luna Ltd. Liability Co Enterprises,379,74,23,5.1216,21,20,0.9103,8826070.0,0.0,normal,0.1821,0,5,2,2,C5-S2,C5-S2-T2,niche_or_shell,AquaBite Limited Liability Company Marine,0.9996
Tripura  Market S.A. de C.V.,2248,84,60,26.7619,60,35,0.9822,43130625.0,0.0,normal,0.1813,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,hǎi dǎn AG Express,0.9998
Irish Scallop Inc Freight ,796,84,27,9.4762,56,56,0.8807,9634505.0,0.0,normal,0.1812,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,The Salty Pearl Express,0.9994
Coastal Charm GmbH Transportation,3073,84,76,36.5833,236,274,0.3693,102389665.0,728065.0,normal,0.181,0,1,2,1,C1-S2,C1-S2-T1,niche_or_shell,Ancla de Oro Kga Import,0.9337
Black Sea Anchovy Pic Wharf,467,82,21,5.6951,14,20,0.8137,4484630.0,0.0,normal,0.1801,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Caracola del Sol Marine mist,0.9988
Playa del Mar Anchor N.V. Services,8521,84,200,101.4405,8,591,0.0006,2253955.0,504485.0,normal,0.1795,0,1,3,2,C1-S3,C1-S3-T2,general_trader,Caracola del Este Sp,0.9532
Tsha wamba S.A. de C.V.,218,65,16,3.3538,16,44,0.6147,4494215.0,0.0,normal,0.1794,0,5,3,1,C5-S3,C5-S3-T1,niche_or_shell,Oceanic Blue Plc Holdings,0.9957
katushka Barracuda Inc and Son's,76,13,20,5.8462,16,39,0.0263,1132335.0,0.0,normal,0.1794,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,-29,0.9998
Costa del Mar Ges.m.b.H. Marine biology,2007,84,86,23.8929,51,31,0.9885,54476165.0,0.0,normal,0.1793,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Wave Watchers Underwater Ltd. Corporation Solutions,0.9998
Punjab s A/S Marine,7282,84,203,86.6905,430,645,0.2054,288934705.0,0.0,normal,0.1788,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Marine Mates NV Worldwide,0.9891
Drakensberg  Caviar N.V. Services,3047,76,144,40.0921,352,708,0.0016,1158260.0,0.0,normal,0.1781,0,1,3,2,C1-S3,C1-S3-T2,general_trader,Kalahari  N.V. Charter Boat ,0.9819
Olas del Mar ОАО,4561,84,149,54.2976,357,488,0.0866,444758525.0,446360.0,normal,0.1781,0,1,3,0,C1-S3,C1-S3-T0,general_trader,3 Trawler Corp Distribution,0.9689
Ola Azul SRL United,546,73,19,7.4795,25,20,0.8114,11191840.0,0.0,normal,0.1768,0,5,3,1,C5-S3,C5-S3-T1,niche_or_shell,Isla del Mar BV,0.9988
CoralCrest Limited Liability Company,57,15,8,3.8,2,1,0.0,1337525.0,0.0,normal,0.1762,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,Mar Azul Ltd. Liability Co,1.0
Costa del Sol A/S,5057,84,107,60.2024,285,313,0.4552,161580515.0,0.0,normal,0.176,0,1,2,1,C1-S2,C1-S2-T1,general_trader,Orange River   Incorporated Shipping,0.9515
Seashell Sanctum SRL Transport,2467,71,83,34.7465,320,602,0.002,1503390.0,0.0,normal,0.1757,0,1,3,2,C1-S3,C1-S3-T2,general_trader,Kalahari  N.V. Charter Boat ,0.9982
Italian Sardines Ltd. Liability Co,2257,84,57,26.869,111,59,0.8786,39311855.0,0.0,normal,0.1752,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Yu er he  Bonito,0.9998
Ola de la Costa N.V.,10171,84,224,121.0833,695,585,0.0145,88471165.0,0.0,normal,0.1745,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Coastal Cruisers GmbH Logistics,0.9963
-13,18,11,3,1.6364,3,4,0.0,66700.0,0.0,normal,0.1744,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,-39,1.0
Sander Ltd. Corporation Leska,1528,71,89,21.5211,74,24,0.4823,34867665.0,0.0,normal,0.1744,0,1,2,0,C1-S2,C1-S2-T0,niche_or_shell,-2,0.9867
Andhra Pradesh  Sp Worldwide,219,25,52,8.76,42,91,0.0,3288155.0,0.0,normal,0.1743,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,Leucosia Limited Liability Company,0.9985
Rift Valley fishery Sagl,3616,84,85,43.0476,285,188,0.5069,91214220.0,0.0,normal,0.1743,0,1,2,1,C1-S2,C1-S2-T1,niche_or_shell,-4,0.975
Northeast Sea S.p.A. Marine,11887,84,308,141.5119,578,414,0.0002,95660945.0,0.0,normal,0.1742,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Jharkhand  Ltd. Liability Co Worldwide,0.9889
Jharkhand  Ltd. Liability Co Worldwide,12514,84,265,148.9762,697,505,0.0,135370030.0,0.0,normal,0.1741,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Coastal Cruisers GmbH Logistics,0.9959
hǎi dǎn AG Express,1643,84,64,19.5595,65,27,0.9817,32766420.0,0.0,normal,0.1741,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Tripura  Market S.A. de C.V.,0.9998
Senegal Coast  Dredge NV Transit,4327,84,104,51.5119,231,323,0.0779,46521315.0,1912240.0,normal,0.174,0,1,3,1,C1-S3,C1-S3-T1,general_trader,Surf and Sand Sagl,0.9625
Caracola del Sol Ltd and Son's,2613,58,168,45.0517,320,268,0.0,19936535.0,0.0,normal,0.1735,0,1,1,0,C1-S1,C1-S1-T0,niche_or_shell,Portuguese Cuttle GmbH Freight ,0.8265
Océano de Coral Corporation Marine conservation,4957,84,130,59.0119,148,203,0.6201,104239570.0,0.0,normal,0.1734,0,1,2,0,C1-S2,C1-S2-T0,niche_or_shell,Mar del Placer Manatee,0.9919
Lake Chad  Company Ray,758,76,24,9.9737,68,95,0.5488,14514015.0,0.0,normal,0.1729,0,1,2,0,C1-S2,C1-S2-T0,niche_or_shell,xún yú S.A. de C.V.,0.9949
-39,17,11,3,1.5455,8,11,0.0,242465.0,0.0,normal,0.1727,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,-13,1.0
Turkish Salmon A/S Marine,10128,84,173,120.5714,341,565,0.1819,151603715.0,0.0,normal,0.1715,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Punjab Sea  CJSC Estuary,0.9781
Danish Plaice Swordfish AB Shipping,1631,84,45,19.4167,31,20,0.8191,20449745.0,0.0,normal,0.1714,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Greek Octopus Ltd. Corporation,0.9983
Lake Kivu   BV United,4245,84,143,50.5357,264,456,0.4344,93276140.0,38600.0,normal,0.1712,0,1,2,1,C1-S2,C1-S2-T1,general_trader,Caracola del Este Ltd. Liability Co,0.9671
Costa del Sol N.V.,5459,84,160,64.9881,350,367,0.0879,93583770.0,994630.0,normal,0.1707,0,1,3,1,C1-S3,C1-S3-T1,general_trader,Arunachal Pradesh s SRL,0.9207
Cape of Good Hope   S.p.A.,10303,84,196,122.6548,312,618,0.0446,131469895.0,603970.0,normal,0.1702,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Coral del Sur Ltd. Corporation Investment,0.9773
Orange River   Eel Company Shipping,25,23,2,1.087,12,16,0.08,101880.0,0.0,normal,0.1701,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,Malawi Rift   BV Forwading,0.9995
Greek Octopus Ltd. Corporation,1145,84,24,13.631,59,51,0.7974,21652605.0,0.0,normal,0.1698,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Irish Scallop Inc Freight ,0.9988
Sea Star LLC Shipping,1957,84,74,23.2976,54,18,0.9402,40279265.0,0.0,normal,0.1698,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Costa de Coral SRL United,0.9998
Olas del Mar N.V.,2741,83,111,33.0241,52,23,0.8796,108310370.0,0.0,normal,0.1693,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Dutch Eel AB Holdings,0.9995
Pez Dorado Plc Seaport,14641,84,283,174.2976,357,26,0.0,103590185.0,0.0,normal,0.1693,0,1,1,1,C1-S1,C1-S1-T1,niche_or_shell,Oceanic Oracle GmbH America,0.9805
-4,3537,84,112,42.1071,216,233,0.5539,130620470.0,0.0,normal,0.1691,0,1,2,1,C1-S2,C1-S2-T1,niche_or_shell,Himachal Pradesh  BV Holdings,0.9873
Mount Kenya  Tsunami GmbH & Co. KG Cargo,529,60,60,8.8167,16,18,0.3554,8213190.0,0.0,normal,0.169,0,1,2,0,C1-S2,C1-S2-T0,niche_or_shell,Sudd Swamp   Marine life,0.9475
Marine Muse Ltd. Corporation,222,22,34,10.0909,13,64,0.0405,1658500.0,0.0,normal,0.1689,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,katushka Barracuda Inc and Son's,0.9993
Ethiopian Highlands  Incorporated Marine biology,1082,82,40,13.1951,38,20,0.8956,22013200.0,0.0,normal,0.1684,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Matthew Oyj Marine sanctuary,0.9995
Chhattisgarh  GmbH & Co. KG Brothers,14962,84,338,178.119,210,72,0.0,1055314985.0,0.0,normal,0.1676,0,1,1,1,C1-S1,C1-S1-T1,niche_or_shell,Zambezi Valley  Marine biology,0.8726
Matthew Oyj Marine sanctuary,558,83,24,6.7229,53,18,0.9086,12574610.0,0.0,normal,0.167,0,5,2,0,C5-S2,C5-S2-T0,niche_or_shell,Ethiopian Highlands  Incorporated Marine biology,0.9995
Costa de Coral SRL United,2267,84,72,26.9881,41,21,0.9453,42175665.0,0.0,normal,0.1667,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Estrella del Mar ОАО Shipping,0.9999
Estrella del Mar N.V. United,3625,84,228,43.1548,261,340,0.365,78314130.0,0.0,normal,0.1665,0,1,2,1,C1-S2,C1-S2-T1,general_trader,Lake Kivu   BV United,0.9502
Himachal Pradesh   S.A. de C.V. America,12488,72,293,173.4444,14,114,0.0002,82119220.0,0.0,normal,0.1665,0,1,0,2,C1-S0,C1-S0-T2,niche_or_shell,Okavango Delta  Cargo ship,0.8456
9 Seaport SE Carriers,3209,84,142,38.2024,70,225,0.0006,17410405.0,1754370.0,normal,0.166,0,1,1,0,C1-S1,C1-S1-T0,niche_or_shell,Fisherman's Bounty Corp Marine,0.9096
-2,192,69,12,2.7826,31,31,0.6042,3463475.0,0.0,normal,0.1655,0,5,3,1,C5-S3,C5-S3-T1,niche_or_shell,Tsha wamba S.A. de C.V.,0.993
Mar Azul Ltd. Liability Co,61,15,8,4.0667,5,8,0.0,1318920.0,0.0,normal,0.1653,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,Icelandic Cod OJSC Services,1.0
Isla del Mar BV,365,74,16,4.9324,58,31,0.7726,7225000.0,0.0,normal,0.1645,0,5,3,1,C5-S3,C5-S3-T1,niche_or_shell,Ola Azul SRL United,0.9988
xún yú S.A. de C.V.,750,75,48,10.0,68,91,0.48,8284385.0,0.0,normal,0.1644,0,1,2,0,C1-S2,C1-S2-T0,niche_or_shell,Lake Chad  Company Ray,0.9949
Kilimajaro Slopes   Seal S.p.A. United,73,20,15,3.65,5,8,0.0274,1708245.0,0.0,normal,0.1632,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,-22,0.9999
Uttar Pradesh s AG,9231,84,162,109.8929,727,508,0.0025,97477190.0,0.0,normal,0.1632,0,1,3,0,C1-S3,C1-S3-T0,general_trader,Coastal Cruisers GmbH Logistics,0.9937
Ancla del Este SE,2922,47,152,62.1702,68,335,0.0082,38521850.0,0.0,normal,0.1624,0,2,0,0,C2-S0,C2-S0-T0,general_trader,Ola del Mar NV,0.9927
Icelandic Cod OJSC Services,32,15,4,2.1333,5,13,0.0,347365.0,0.0,normal,0.1621,0,2,1,1,C2-S1,C2-S1-T1,niche_or_shell,Mar Azul Ltd. Liability Co,1.0
Mar del Caribe LLC,1157,81,88,14.284,67,205,0.5039,20757995.0,0.0,normal,0.162,0,1,2,1,C1-S2,C1-S2-T1,niche_or_shell,Adriatic Mackerel Ges.m.b.H. Family,0.9807
